ZCTA,GEOID20,oy_pct,population,pop_16_24,adjacent
77568,77568,0.2222,31025,4095,"77510, 77539, 77554, 77563, 77590, 77591"
77571,77571,0.1763,86541,11423,"77015, 77505, 77506, 77507, 77520, 77530, 77536, 77586"
77573,77573,0.0671,1140,150,"77058, 77511, 77518, 77539, 77546, 77565, 77586, 77598"
77575,77575,0.4167,4125,545,"77327, 77533, 77535, 77538, 77560, 77561, 77564, 77582, 77597"
77577,77577,0,14125,1865,"77511, 77534, 77583"
77578,77578,0.0994,2140,282,"77511, 77583, 77584"
77580,77580,0,39852,5260,"77523, 77535"
77581,77581,0.0792,1120,148,"77048, 77075, 77089, 77511, 77546, 77584"
77582,77582,0,31025,4095,"77538, 77575"
77583,77583,0.1565,91425,12068,"77430, 77459, 77461, 77481, 77511, 77515, 77534, 77545, 77577, 77578, 77584"
77584,77584,0.1234,24152,3188,"77047, 77053, 77511, 77545, 77578, 77581, 77583"
77586,77586,0.0827,26541,3503,"77058, 77507, 77565, 77571, 77573"
77587,77587,0.1439,21542,2844,"77017, 77034, 77502, 77504"
77590,77590,0.1516,24152,3188,"77539, 77568, 77591"
77591,77591,0.2234,11025,1455,"77539, 77568, 77590"
77597,77597,0,26541,3503,"77514, 77560, 77575"
77598,77598,0.1182,1850,244,"77034, 77058, 77062, 77546, 77573"
77617,77617,0,2140,282,"77623, 77650"
77623,77623,0,1120,148,"77617, 77665"
77629,77629,0.1143,4125,545,"77538, 77665"
77650,77650,0,1850,244,77617
77659,77659,0.0809,1140,150,"77533, 77538, 77564"
77661,77661,0,2150,284,77665
77665,77665,0.125,11425,1508,"77514, 77538, 77560, 77623, 77629, 77661"
77830,77830,0.0714,28952,3822,77356
77831,77831,0.1569,1120,148,"77320, 77340, 77864, 77873"
77833,77833,0.1676,4125,545,"77418, 77426, 77835, 78931, 78940, 78944, 78950"
77835,77835,0,11025,1455,"77833, 78940, 78954"
77864,77864,0.1793,8541,1127,"75852, 77320, 77831"
77868,77868,0.2293,4125,545,"77356, 77445, 77484"
77873,77873,0.0476,1140,150,"77340, 77356, 77358, 77831"
77880,77880,0,11425,1508,77445
77957,77957,0.1571,2140,282,77455
77961,77961,0,1120,148,77419
77962,77962,0.0833,4125,545,77455
77964,77964,0.0976,11425,1508,"77442, 77455, 77475, 78951, 78962"
77979,77979,0.0905,4125,545,77465
